股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ300915,海融科技,41.14,2.06,104.91,-0.54,1924565,78260856.96,43.759,3702600000.0,7.75,0.972
SZ002262,恩华药业,24.52,1.22,147.36,0.59,28085342,684191626.75,24.752,24706060016.0,3.19,0.816
SZ300399,天利科技,13.95,0.68,43.97,37.4,18591841,254017350.67,120.735,2756520000.0,9.55,0.072
SH603918,金桥信息,27.37,1.33,44.0,272.13,66800330,1853469710.0,343.489,10065564870.0,18.27,0.073
SZ000014,沙河股份,15.28,0.74,950.42,51.76,44611292,669658270.16,9.374,3698466303.0,18.43,0.785
SH601059,信达证券,18.16,0.88,44.0,120.12,112824362,2003435248.0,46.104,58892880000.0,34.79,0.242
SZ002910,庄园牧场,12.64,0.61,43.97,-16.1,20488999,253918684.03,44.169,2471617346.0,11.98,0.491
SH600136,*ST明诚,2.92,0.14,0.0,63.13,9844600,28306333.0,,1702631919.0,2.03,0.0
SZ000996,*ST中期,4.81,0.23,144.69,-22.67,16069111,75844841.59,,1659450000.0,4.66,0.0
SH601162,天风证券,3.98,0.19,44.13,38.68,1016565716,3929716375.0,,34489714707.0,11.73,0.0
SH600851,海欣股份,6.72,0.32,184.14,15.69,18230839,122462660.0,49.682,8111420970.0,2.47,0.67
SH688516,奥特维,179.78,8.56,167.18,-9.81,994226,175397080.0,33.645,27834844983.0,1.31,0.888
SZ300917,特发服务,33.59,1.59,153.46,23.9,23429628,762805186.05,49.114,5676710000.0,27.05,0.595
SH600530,*ST交昂,1.91,0.09,127.31,-49.74,25774223,48579945.0,29.377,1480097200.0,3.33,0.0
SH600530,*ST交昂,1.91,0.09,127.31,-49.74,25774223,48579945.0,29.377,1480097200.0,3.33,0.0
SZ300106,西部牧业,9.13,0.43,151.93,-4.99,22725377,205556860.52,149.833,1929463990.0,10.75,0.0
SH688290,景业智能,62.53,2.92,-6.37,4.74,626124,38315448.0,51.044,6389922816.0,1.36,0.644
SH603938,三孚股份,22.68,1.06,43.98,-7.16,10246598,231618618.0,12.423,8677923592.0,2.68,0.864
SZ300033,同花顺,193.9,9.0,33.3,99.46,14414458,2736472379.96,62.586,104240640000.0,5.31,1.289
SH601878,浙商证券,11.43,0.53,44.02,15.11,145684462,1637911885.0,24.372,44327699950.0,3.76,2.625
SH603233,大参林,30.13,1.39,44.01,-6.93,11272176,334046489.0,29.885,34315119610.0,0.99,1.659
SH600653,申华控股,2.17,0.1,,14.81,100531644,215686374.0,,4223645288.0,5.17,0.0
SZ000566,海南海药,5.0,0.23,33.62,17.1,53734010,269007092.87,197.474,6486825630.0,4.61,0.0
SH603557,ST起步,2.61,0.12,43.98,-23.01,10957600,28341842.0,,1289564160.0,2.22,0.0
SZ000756,新华制药,21.35,0.98,0.0,-28.4,28884669,611037862.82,31.707,14404478527.0,6.55,0.937
SH603985,恒润股份,23.1,1.06,44.01,-6.28,16548422,380216545.0,91.395,10183819869.0,3.75,0.173
SZ300995,奇德新材,24.33,1.11,223.44,41.41,10660526,255299825.84,167.157,2047612800.0,36.62,0.493
SH601236,红塔证券,8.8,0.4,43.93,19.68,108581507,936873595.0,42.255,41507732130.0,2.3,0.568
SH688247,宣泰医药,12.59,0.57,45.14,-24.47,3218306,40034513.0,70.994,5707550600.0,7.47,0.492
SH600322,天房发展,2.65,0.12,133.6,17.26,185150154,477666038.0,,2930105000.0,16.75,0.0
SH603063,禾望电气,30.58,1.38,44.01,9.91,10276773,312187937.0,38.003,13553881660.0,2.32,0.199
SH900917,海欣B股,0.333,0.015,,2.08,3761425,1225290.0,17.702,401949878.0,0.8,1.802
SZ300910,瑞丰新材,51.75,2.31,240.38,-18.52,4480443,232362103.14,23.547,14915802157.0,2.55,2.313
SZ300059,东方财富,16.92,0.75,43.79,5.0,682401725,11318019365.76,32.065,268300356280.0,5.13,0.343
SZ301338,凯格精机,43.84,1.94,73.11,21.63,7663274,327091703.21,39.345,4664576000.0,31.13,0.814
SZ300485,赛升药业,10.86,0.48,43.99,-8.63,13747426,150964713.92,52.83,5230897104.0,5.09,0.792
SH688569,铁科轨道,54.32,2.37,52.89,211.78,3297232,176436021.0,34.775,11443415144.0,2.5,0.644
SZ300275,梅安森,16.43,0.71,54.04,122.88,19317675,316555680.07,129.151,4966227883.0,7.73,0.116
SZ002437,誉衡药业,2.32,0.1,18.66,-8.66,155452435,361027991.8,,5099645244.0,7.1,0.0
SH688097,博众精工,27.46,1.18,85.27,-3.99,4761730,128828865.0,32.865,12264947627.0,5.13,0.0
SZ002670,国盛金控,9.88,0.42,22.19,33.33,95313440,928473144.77,,19118636372.0,5.87,0.0
SH600257,大湖股份,6.58,0.28,100.45,9.85,61206036,400037669.0,,3166540697.0,12.72,0.0
